week,value,parameter,percentile,paper
10.0,0.024812058578910567,AC,50,Combs (1993)
11.0,0.044462577070530494,AC,50,Combs (1993)
12.0,0.10119964274035963,AC,50,Combs (1993)
13.0,0.14224946736393693,AC,50,Combs (1993)
14.0,0.18761217260464957,AC,50,Combs (1993)
15.0,0.2559912379523412,AC,50,Combs (1993)
16.0,0.28087796095406914,AC,50,Combs (1993)
17.0,0.3092522508256102,AC,50,Combs (1993)
18.0,0.3475751686787622,AC,50,Combs (1993)
19.0,0.3747110187054931,AC,50,Combs (1993)
20.0,0.39058488159893556,AC,50,Combs (1993)
21.0,0.3951477890682512,AC,50,Combs (1993)
22.0,0.41923655429479634,AC,50,Combs (1993)
23.0,0.43746375708098356,AC,50,Combs (1993)
24.0,0.44882876356055895,AC,50,Combs (1993)
25.0,0.4580333021978151,AC,50,Combs (1993)
26.0,0.47130237341010106,AC,50,Combs (1993)
27.0,0.47093213441730236,AC,50,Combs (1993)
28.0,0.49338925951633594,AC,50,Combs (1993)
29.0,0.5109610123541637,AC,50,Combs (1993)
30.0,0.5054569312532409,AC,50,Combs (1993)
31.0,0.5376093640496236,AC,50,Combs (1993)
32.0,0.5367512729590631,AC,50,Combs (1993)
33.0,0.5483461098413197,AC,50,Combs (1993)
34.0,0.5644863432239489,AC,50,Combs (1993)
35.0,0.5870020759102683,AC,50,Combs (1993)
36.0,0.5992437792547458,AC,50,Combs (1993)
37.0,0.615008402518574,AC,50,Combs (1993)
38.0,0.6315435393183997,AC,50,Combs (1993)
39.0,0.6463839450043875,AC,50,Combs (1993)
40.0,0.6273680883259279,AC,50,Combs (1993)
41.0,0.6669386794861493,AC,50,Combs (1993)
42.0,0.6314241992643738,AC,50,Combs (1993)
43.0,0.677635026928141,AC,50,Combs (1993)
44.0,0.792362959692273,AC,50,Combs (1993)
10.0,0.030650886013749688,FL,50,Combs (1993)
11.0,0.05433804673920312,FL,50,Combs (1993)
12.0,0.12012450411692092,FL,50,Combs (1993)
13.0,0.13109734020119984,FL,50,Combs (1993)
14.0,0.13839883598529115,FL,50,Combs (1993)
15.0,0.14299489728831263,FL,50,Combs (1993)
16.0,0.1470631306294125,FL,50,Combs (1993)
17.0,0.1396319250444644,FL,50,Combs (1993)
18.0,0.13205013986743247,FL,50,Combs (1993)
19.0,0.12680968698577866,FL,50,Combs (1993)
20.0,0.13050278900334325,FL,50,Combs (1993)
21.0,0.12801672289391786,FL,50,Combs (1993)
22.0,0.12952015886248008,FL,50,Combs (1993)
23.0,0.12399622735805992,FL,50,Combs (1993)
24.0,0.11322941578377714,FL,50,Combs (1993)
25.0,0.11597280334623641,FL,50,Combs (1993)
26.0,0.11403645552324856,FL,50,Combs (1993)
27.0,0.11641095177171115,FL,50,Combs (1993)
28.0,0.1083279831319679,FL,50,Combs (1993)
29.0,0.10837401450014664,FL,50,Combs (1993)
30.0,0.10864842687469078,FL,50,Combs (1993)
31.0,0.10950428371196805,FL,50,Combs (1993)
32.0,0.10986289725209905,FL,50,Combs (1993)
33.0,0.114916850960757,FL,50,Combs (1993)
34.0,0.1103572582309216,FL,50,Combs (1993)
35.0,0.10614865908658776,FL,50,Combs (1993)
36.0,0.10595379616526726,FL,50,Combs (1993)
37.0,0.10822036903376511,FL,50,Combs (1993)
38.0,0.11390418319142911,FL,50,Combs (1993)
39.0,0.11232375486221603,FL,50,Combs (1993)
40.0,0.1142171373897903,FL,50,Combs (1993)
41.0,0.10300494419123282,FL,50,Combs (1993)
42.0,0.11424205032333393,FL,50,Combs (1993)
43.0,0.15327514330514996,FL,50,Combs (1993)
