week,n,value,parameter,percentile,paper
18,1401,3.6,BPD,3,araujo2014
19,1785,3.9,BPD,3,araujo2014
20,2008,4.2,BPD,3,araujo2014
21,2135,4.6,BPD,3,araujo2014
22,2115,4.9,BPD,3,araujo2014
23,2070,5.2,BPD,3,araujo2014
24,1927,5.4,BPD,3,araujo2014
25,1732,5.7,BPD,3,araujo2014
26,1648,6.0,BPD,3,araujo2014
27,1592,6.2,BPD,3,araujo2014
28,1517,6.5,BPD,3,araujo2014
29,1466,6.7,BPD,3,araujo2014
30,1431,6.9,BPD,3,araujo2014
31,1306,7.2,BPD,3,araujo2014
32,1285,7.4,BPD,3,araujo2014
33,1276,7.6,BPD,3,araujo2014
34,1230,7.7,BPD,3,araujo2014
35,1234,7.9,BPD,3,araujo2014
36,1025,8.1,BPD,3,araujo2014
37,833,8.2,BPD,3,araujo2014
38,460,8.4,BPD,3,araujo2014
18,1401,3.7,BPD,10,araujo2014
19,1785,4.1,BPD,10,araujo2014
20,2008,4.4,BPD,10,araujo2014
21,2135,4.7,BPD,10,araujo2014
22,2115,5.1,BPD,10,araujo2014
23,2070,5.4,BPD,10,araujo2014
24,1927,5.7,BPD,10,araujo2014
25,1732,6.0,BPD,10,araujo2014
26,1648,6.2,BPD,10,araujo2014
27,1592,6.5,BPD,10,araujo2014
28,1517,6.7,BPD,10,araujo2014
29,1466,7.0,BPD,10,araujo2014
30,1431,7.2,BPD,10,araujo2014
31,1306,7.5,BPD,10,araujo2014
32,1285,7.7,BPD,10,araujo2014
33,1276,7.9,BPD,10,araujo2014
34,1230,8.1,BPD,10,araujo2014
35,1234,8.3,BPD,10,araujo2014
36,1025,8.4,BPD,10,araujo2014
37,833,8.6,BPD,10,araujo2014
38,460,8.7,BPD,10,araujo2014
18,1401,4.0,BPD,50,araujo2014
19,1785,4.4,BPD,50,araujo2014
20,2008,4.7,BPD,50,araujo2014
21,2135,5.1,BPD,50,araujo2014
22,2115,5.4,BPD,50,araujo2014
23,2070,5.7,BPD,50,araujo2014
24,1927,6.0,BPD,50,araujo2014
25,1732,6.3,BPD,50,araujo2014
26,1648,6.6,BPD,50,araujo2014
27,1592,6.9,BPD,50,araujo2014
28,1517,7.2,BPD,50,araujo2014
29,1466,7.4,BPD,50,araujo2014
30,1431,7.7,BPD,50,araujo2014
31,1306,7.9,BPD,50,araujo2014
32,1285,8.1,BPD,50,araujo2014
33,1276,8.3,BPD,50,araujo2014
34,1230,8.5,BPD,50,araujo2014
35,1234,8.7,BPD,50,araujo2014
36,1025,8.9,BPD,50,araujo2014
37,833,9.1,BPD,50,araujo2014
38,460,9.2,BPD,50,araujo2014
18,1401,4.3,BPD,90,araujo2014
19,1785,4.6,BPD,90,araujo2014
20,2008,5.0,BPD,90,araujo2014
21,2135,5.4,BPD,90,araujo2014
22,2115,5.7,BPD,90,araujo2014
23,2070,6.1,BPD,90,araujo2014
24,1927,6.4,BPD,90,araujo2014
25,1732,6.7,BPD,90,araujo2014
26,1648,7.0,BPD,90,araujo2014
27,1592,7.3,BPD,90,araujo2014
28,1517,7.6,BPD,90,araujo2014
29,1466,7.8,BPD,90,araujo2014
30,1431,8.1,BPD,90,araujo2014
31,1306,8.3,BPD,90,araujo2014
32,1285,8.6,BPD,90,araujo2014
33,1276,8.8,BPD,90,araujo2014
34,1230,9.0,BPD,90,araujo2014
35,1234,9.2,BPD,90,araujo2014
36,1025,9.4,BPD,90,araujo2014
37,833,9.6,BPD,90,araujo2014
38,460,9.7,BPD,90,araujo2014
18,1401,4.4,BPD,97,araujo2014
19,1785,4.8,BPD,97,araujo2014
20,2008,5.2,BPD,97,araujo2014
21,2135,5.5,BPD,97,araujo2014
22,2115,5.9,BPD,97,araujo2014
23,2070,6.2,BPD,97,araujo2014
24,1927,6.5,BPD,97,araujo2014
25,1732,6.9,BPD,97,araujo2014
26,1648,7.2,BPD,97,araujo2014
27,1592,7.5,BPD,97,araujo2014
28,1517,7.7,BPD,97,araujo2014
29,1466,8.0,BPD,97,araujo2014
30,1431,8.3,BPD,97,araujo2014
31,1306,8.5,BPD,97,araujo2014
32,1285,8.8,BPD,97,araujo2014
33,1276,9.0,BPD,97,araujo2014
34,1230,9.2,BPD,97,araujo2014
35,1234,9.4,BPD,97,araujo2014
36,1025,9.6,BPD,97,araujo2014
37,833,9.8,BPD,97,araujo2014
38,460,10.0,BPD,97,araujo2014
18,1401,13.3,HC,3,araujo2014
19,1785,14.6,HC,3,araujo2014
20,2008,15.8,HC,3,araujo2014
21,2135,16.7,HC,3,araujo2014
22,2115,18.1,HC,3,araujo2014
23,2070,19.1,HC,3,araujo2014
24,1927,20.2,HC,3,araujo2014
25,1732,21.2,HC,3,araujo2014
26,1648,22.2,HC,3,araujo2014
27,1592,23.1,HC,3,araujo2014
28,1517,23.9,HC,3,araujo2014
29,1466,24.8,HC,3,araujo2014
30,1431,25.5,HC,3,araujo2014
31,1306,26.3,HC,3,araujo2014
32,1285,27.0,HC,3,araujo2014
33,1276,27.6,HC,3,araujo2014
34,1230,28.2,HC,3,araujo2014
35,1234,28.8,HC,3,araujo2014
36,1025,29.3,HC,3,araujo2014
37,833,29.7,HC,3,araujo2014
38,460,30.2,HC,3,araujo2014
18,1401,13.7,HC,10,araujo2014
19,1785,15.0,HC,10,araujo2014
20,2008,16.3,HC,10,araujo2014
21,2135,17.4,HC,10,araujo2014
22,2115,18.6,HC,10,araujo2014
23,2070,19.7,HC,10,araujo2014
